city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population
Granite Bay,Granite Bay,CA,California,6061,Placer,38.7601,-121.1714,23183
Maywood,Maywood,IL,Illinois,17031,Cook,41.8798,-87.8442,23158
Dickinson,Dickinson,ND,North Dakota,38089,Stark,46.8917,-102.7924,23133
Oxford,Oxford,OH,Ohio,39017,Butler,39.5061,-84.7434,23113
Kenmore,Kenmore,WA,Washington,53033,King,47.7516,-122.2489,23097
Allison Park,Allison Park,PA,Pennsylvania,42003,Allegheny,40.573,-79.9603,23092
Farmington,Farmington,MN,Minnesota,27037,Dakota,44.6573,-93.1688,23091
Monsey,Monsey,NY,New York,36087,Rockland,41.1181,-74.0681,23055
Hastings,Hastings,MN,Minnesota,27037,Dakota,44.7318,-92.8538,23047
Rockingham,Rockingham,NC,North Carolina,37153,Richmond,34.9386,-79.7608,23016
Greenfield,Greenfield,IN,Indiana,18059,Hancock,39.7936,-85.7737,23006
Auburn,Auburn,IN,Indiana,18033,DeKalb,41.3666,-85.0559,22994
Frederickson,Frederickson,WA,Washington,53053,Pierce,47.0914,-122.3594,22994
Willoughby,Willoughby,OH,Ohio,39085,Lake,41.646,-81.4084,22977
Mustang,Mustang,OK,Oklahoma,40017,Canadian,35.3917,-97.7246,22959
Patterson,Patterson,CA,California,6099,Stanislaus,37.4758,-121.1535,22930
Gallup,Gallup,NM,New Mexico,35031,McKinley,35.5183,-108.7423,22917
Radcliff,Radcliff,KY,Kentucky,21093,Hardin,37.8206,-85.9366,22914
West Rancho Dominguez,West Rancho Dominguez,CA,California,6037,Los Angeles,33.9057,-118.2682,22901
Blue Island,Blue Island,IL,Illinois,17031,Cook,41.6578,-87.6812,22899
Crystal,Crystal,MN,Minnesota,27053,Hennepin,45.0377,-93.3599,22899
Belton,Belton,TX,Texas,48027,Bell,31.0525,-97.479,22885
Pace,Pace,FL,Florida,12113,Santa Rosa,30.6187,-87.1667,22860
Marshall,Marshall,TX,Texas,48203,Harrison,32.537,-94.3515,22831
Laguna Beach,Laguna Beach,CA,California,6059,Orange,33.5448,-117.7612,22827
Webster Groves,Webster Groves,MO,Missouri,29189,St. Louis,38.5866,-90.3544,22819
Acworth,Acworth,GA,Georgia,13067,Cobb,34.0566,-84.6715,22818
Griffin,Griffin,GA,Georgia,13255,Spalding,33.2418,-84.2747,22813
Willowbrook,Willowbrook,CA,California,6037,Los Angeles,33.9199,-118.2362,22811
Morton Grove,Morton Grove,IL,Illinois,17031,Cook,42.0423,-87.789,22796
Keene,Keene,NH,New Hampshire,33005,Cheshire,42.9494,-72.2997,22786
Marina,Marina,CA,California,6053,Monterey,36.6812,-121.7895,22781
Solon,Solon,OH,Ohio,39035,Cuyahoga,41.3864,-81.4401,22779
New Brighton,New Brighton,MN,Minnesota,27123,Ramsey,45.0658,-93.206,22753
Mandan,Mandan,ND,North Dakota,38059,Morton,46.829,-100.887,22752
Pittsburg,Pittsburg,KS,Kansas,20037,Crawford,37.4129,-94.6984,22711
Elizabeth City,Elizabeth City,NC,North Carolina,37139,Pasquotank,36.2943,-76.2361,22711
Harriman,Harriman,TN,Tennessee,47145,Roane,35.9307,-84.5602,22708
Ives Estates,Ives Estates,FL,Florida,12086,Miami-Dade,25.9632,-80.183,22707
Greenfield,Greenfield,MA,Massachusetts,25011,Franklin,42.614,-72.5985,22703
Fairhope,Fairhope,AL,Alabama,1003,Baldwin,30.5217,-87.8815,22677
Cottage Lake,Cottage Lake,WA,Washington,53033,King,47.7466,-122.0755,22677
Machesney Park,Machesney Park,IL,Illinois,17201,Winnebago,42.3666,-89.0266,22677
Braidwood,Braidwood,IL,Illinois,17197,Will,41.2696,-88.2235,22670
Hurricane,Hurricane,UT,Utah,49053,Washington,37.1487,-113.3517,22666
Trussville,Trussville,AL,Alabama,1073,Jefferson,33.6404,-86.5819,22635
Waynesboro,Waynesboro,VA,Virginia,51820,Waynesboro,38.0674,-78.9014,22630
Johnston,Johnston,IA,Iowa,19153,Polk,41.6857,-93.7173,22582
Corcoran,Corcoran,CA,California,6031,Kings,36.0839,-119.561,22581
Meadville,Meadville,PA,Pennsylvania,42039,Crawford,41.6476,-80.1468,22580
Landover,Landover,MD,Maryland,24033,Prince George's,38.9241,-76.8875,22553
Happy Valley,Happy Valley,OR,Oregon,41005,Clackamas,45.4362,-122.5077,22553
East Peoria,East Peoria,IL,Illinois,17179,Tazewell,40.6734,-89.5419,22546
Hopewell,Hopewell,VA,Virginia,51670,Hopewell,37.2915,-77.2985,22529
Fort Walton Beach,Fort Walton Beach,FL,Florida,12091,Okaloosa,30.4249,-86.6194,22521
Nixa,Nixa,MO,Missouri,29043,Christian,37.0453,-93.296,22515
Clinton,Clinton,UT,Utah,49011,Davis,41.1395,-112.0656,22499
Munster,Munster,IN,Indiana,18089,Lake,41.5469,-87.504,22476
Christiansburg,Christiansburg,VA,Virginia,51121,Montgomery,37.1411,-80.4028,22473
Anthem,Anthem,AZ,Arizona,4013,Maricopa,33.856,-112.1168,22468
Roselle,Roselle,IL,Illinois,17043,DuPage,41.9807,-88.0861,22463
Garden City,Garden City,NY,New York,36059,Nassau,40.7266,-73.6447,22454
The Crossings,The Crossings,FL,Florida,12086,Miami-Dade,25.6708,-80.4018,22441
Warrensburg,Warrensburg,MO,Missouri,29101,Johnson,38.7627,-93.726,22410
Kihei,Kihei,HI,Hawaii,15009,Maui,20.7653,-156.4454,22402
Union City,Union City,GA,Georgia,13121,Fulton,33.5941,-84.5629,22399
Millbrae,Millbrae,CA,California,6081,San Mateo,37.5994,-122.4023,22394
Florida Ridge,Florida Ridge,FL,Florida,12061,Indian River,27.5805,-80.3848,22372
Silver Firs,Silver Firs,WA,Washington,53061,Snohomish,47.8635,-122.1497,22358
Dolton,Dolton,IL,Illinois,17031,Cook,41.6284,-87.5979,22348
Duncan,Duncan,OK,Oklahoma,40137,Stephens,34.5424,-97.919,22344
